"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"logo875";1;"LOGO";;;
2;"C19,C17,C16,C15,C14,C13,C12,C11,C18,C4,C3,C2";"C_0805_2012Metric";12;"0.1uF";;;
3;"MX7,MX1,MX14,MX12,MX11,MX10,MX9,MX8,MX6,MX5,MX4,MX3,MX2";"MX-1U-NoLED";13;"MX-NoLED";;;
4;"SW1";"SKQG-1155865";1;"SW_Push";;;
5;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-AU";;;
6;"C9";"C_0805_2012Metric";1;"10uF";;;
7;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
8;"R3,R4";"R_0805_2012Metric";2;"5.1 k";;;
9;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
10;"SW2";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"Rotary_Encoder_Switch";;;
11;"R7,R2,R1";"R_0805_2012Metric";3;"22";;;
12;"R6";"R_0805_2012Metric";1;"10k";;;
13;"R5";"R_0805_2012Metric";1;"500 ohm";;;
14;"OLED1";"PinHeader_1x04_P2.54mm_Horizontal";1;"Conn_01x04";;;
15;"MX13";"MX-2U";1;"MX-NoLED";;;
16;"L9,L8,L7,L6,L5,L4,L3,L2,L1";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";9;"WS2812B";;;
17;"F1";"Fuse_1206_3216Metric";1;"Polyfuse";;;
18;"D21,D20,D19,D18,D17,D16,D14,D13,D12,D11,D10,D9,D8,D7";"D_SOD-123";14;"D_Small";;;
19;"C6,C5";"C_0805_2012Metric";2;"22pF";;;
20;"C1";"C_0805_2012Metric";1;"1uF";;;
